﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6rbcLlshzTmZSnwLvRlQRw","Scream","Oddnesse","Scream","1","1","226939","spotify:user:martinthetallguy","2017-10-03T05:19:43Z"
"spotify:track:7E5qyAyjFa5hkwnYGkk6s0","Back To Life","Holy Wars","Back To Life","1","1","230826","spotify:user:martinthetallguy","2017-10-05T17:03:22Z"
"spotify:track:1lF1nduORZNBELHMHfb201","All I Have To Do Is Dream","Holly Macve","Covers","1","3","207271","spotify:user:martinthetallguy","2017-10-05T17:16:10Z"
"spotify:track:7tudCeUsjCPWnNfpELpF9X","Strange Boy (Bonus Track)","The Shacks","The Shacks","1","9","206718","spotify:user:martinthetallguy","2017-10-06T07:32:52Z"
"spotify:track:61liCt3PBkAl2MYAO3J4ex","New Friend","The Concretes","The Concretes","1","4","251173","spotify:user:martinthetallguy","2017-10-06T08:04:15Z"
"spotify:track:5uEblizYf0XvfVPY21IHQd","Sleepdriving","Grand Archives","The Grand Archives","1","8","319746","spotify:user:martinthetallguy","2017-10-06T13:27:44Z"
"spotify:track:4IODDv1wt2VwvPUCfFUdSr","Picture You","The Amazing","Picture You","1","2","567371","spotify:user:martinthetallguy","2017-10-06T16:43:58Z"
"spotify:track:6mORGLOz79w6VsCRLWYYuK","The Night We Met","Lord Huron","Strange Trails","1","14","208211","spotify:user:martinthetallguy","2017-10-12T12:46:37Z"
"spotify:track:4oxBuMPLQxQYVPYOdCOG77","Distrust","Ailbhe Reddy","Hollowed out Sea","1","1","213350","spotify:user:martinthetallguy","2017-10-12T18:27:07Z"
"spotify:track:1zgvw6itZ2Ml840eTRuypA","Aloha","The Saxophones","Aloha","1","1","242001","spotify:user:martinthetallguy","2017-10-13T05:59:41Z"
"spotify:track:4hlvXKcjFEVqRMhzqml8Lf","All My Heroes Are Dead","Barely Autumn","Barely Autumn","1","1","167160","spotify:user:martinthetallguy","2017-10-24T17:18:20Z"
"spotify:track:31lcf5cp2rY7rZxAC5uOcA","Ontario Gothic","Foxes In Fiction","Ontario Gothic","1","5","325242","spotify:user:martinthetallguy","2017-11-14T14:58:50Z"
"spotify:track:4E6YM4V7Kz6zpbiNsliwEl","Just Like Honey","The Jesus and Mary Chain","Psychocandy","1","1","183493","spotify:user:martinthetallguy","2017-11-14T17:41:10Z"
"spotify:track:20eUJdVdiAckB6GlgiletW","Yam Yam","No Vacation","Intermission","1","1","216038","spotify:user:martinthetallguy","2017-11-17T13:02:11Z"
"spotify:track:1B9GNB1zXF2ZcDeYJsRA2n","Priestess","Pumarosa","The Witch","1","4","450013","spotify:user:martinthetallguy","2017-11-18T10:46:49Z"
"spotify:track:48sc7vBJeNoCEQhxO3zYKA","Too Late To Say Goodbye","Cage The Elephant","Tell Me I'm Pretty","1","4","252786","spotify:user:martinthetallguy","2017-12-06T03:56:30Z"
"spotify:track:5JLpGXjJ8JYHtluk57R7rF","The Dream","Widowspeak","The Dream","1","1","259902","spotify:user:martinthetallguy","2018-01-16T11:35:33Z"
"spotify:track:2enPRFda84VE2wtI8c86Uf","Always Forever","Cults","Static","1","3","223746","spotify:user:martinthetallguy","2018-02-02T11:29:05Z"
"spotify:track:0PrfMU5saeyk6TqbpjsSEX","Torpedo Love","Thunderpussy","Torpedo Love","1","1","311973","spotify:user:martinthetallguy","2018-02-05T14:09:47Z"
"spotify:track:2SVxpHVwxKkqhWCvlz7g80","Dream Cave","Cloud Control","Dream Cave","1","11","368600","spotify:user:martinthetallguy","2018-02-21T13:41:28Z"
"spotify:track:3gX40RMAy3BWUVpk7qp4e6","1000 Seconds","Secret Machines","Ten Silver Drops (U.S. Version)","1","8","315400","spotify:user:martinthetallguy","2018-02-22T11:34:31Z"
"spotify:track:7GI9upbyDZyExwOtQTCMd1","Knocked Down","The War On Drugs","A Deeper Understanding","1","5","239613","spotify:user:martinthetallguy","2018-02-23T13:57:54Z"
"spotify:track:58iT2lT6yiTwJyN8zlXrKt","More I See","S. Carey","Hundred Acres","1","7","243733","spotify:user:martinthetallguy","2018-03-06T05:12:08Z"
"spotify:track:1PXGUlrMWirpockPkF6LPy","Moonlight Baby","The Dig","Moonlight Baby","1","1","318251","spotify:user:martinthetallguy","2018-03-06T10:29:19Z"
"spotify:track:2XMwak0QKaukNo502mcufY","Sight of You","Pale Saints","The Comforts Of Madness","1","10","337600","spotify:user:martinthetallguy","2018-03-11T14:56:27Z"
"spotify:track:08QvaiXcwwq7FpmZqPQEp2","Deep Six Textbook","Let's Eat Grandma","Deep Six Textbook","1","1","339173","spotify:user:martinthetallguy","2018-03-13T04:25:59Z"
"spotify:track:5bTHJrMxCqRim2MBIcnAXK","Boardwalks - Remastered 2015/ Bonus Track","Little May","For The Company","1","13","199359","spotify:user:martinthetallguy","2018-03-16T10:09:12Z"
"spotify:track:1sfdLryuujVNx5v3SqDIh8","Darlin'","Goodbye June","Darlin’","1","1","299386","spotify:user:martinthetallguy","2018-03-16T10:22:59Z"
"spotify:track:7j8ErBE5GJcrJvNFcAtpAt","Munro","The Pigeon Detectives","Broken Glances","1","3","378320","spotify:user:martinthetallguy","2018-03-31T09:04:14Z"
"spotify:track:1zuKjpp4t7BS8JPKi6mkQr","Angels","The xx","Coexist","1","1","171653","spotify:user:martinthetallguy","2018-04-02T09:44:30Z"
"spotify:track:1CZ9XHNJO8N0l8rZH0g2TB","Glowing Brightly","Florist","Glowing Brightly","1","1","209153","spotify:user:martinthetallguy","2018-04-13T07:48:34Z"
"spotify:track:3Pe1AX6Pc88jElgs5IzM75","Wishing Well","Bugg","Bugg","1","2","121383","spotify:user:martinthetallguy","2018-04-26T04:53:22Z"
"spotify:track:1WPyikBvVB9asFnKwXPHV6","Slug","Snail Mail","Habit - EP","1","5","274168","spotify:user:martinthetallguy","2018-04-30T05:16:10Z"
