﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6H4IX21JUQ87XjaQKaGHmy","Siberian Nights","The Kills","Ash & Ice","1","8","293392","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:3twNvmDtFQtAd5gMKedhLD","Somebody Told Me","The Killers","Hot Fuss (Deluxe Version)","1","4","197280","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:1FTSo4v6BOZH9QxKc3MbVM","Song 2 - 2012 Remastered Version","Blur","Blur [Special Edition]","1","2","121160","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:19iqWNzp5LwEdvntpEK8MP","Steady, As She Goes","The Raconteurs","Broken Boy Soldiers","1","1","215266","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:0supM1KMndydbyn0RFa6JK","Sweet Harmony","She Drew The Gun","Sweet Harmony","1","1","240985","spotify:user:martinthetallguy","2017-10-12T12:38:20Z"
"spotify:track:6ooluO7DiEhI1zmK94nRCM","Take Me Out","Franz Ferdinand","Franz Ferdinand","1","3","237026","spotify:user:martinthetallguy","2017-10-06T08:12:33Z"
"spotify:track:25FTMokYEbEWHEdss5JLZS","Teenage Dirtbag","Wheatus","Wheatus","1","3","241666","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:37MkbRqfMdO4qlNj7C4Wfa","The Great Escape - Album Version;","We Are Scientists","With Love And Squalor","1","8","198832","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:2dcmQJCw1INGn7yR2KHx0U","The House That Heaven Built","Japandroids","Celebration Rock","1","7","289150","spotify:user:martinthetallguy","2018-05-25T08:19:49Z"
"spotify:track:4sQJXbtxwoKHG7PwMRJ0Ig","The Kids Aren't Alright","The Offspring","Americana","1","5","179600","spotify:user:martinthetallguy","2017-12-16T10:57:57Z"
"spotify:track:4c6vZqYHFur11FbWATIJ9P","There She Goes","The La's","The La's","1","5","162186","spotify:user:martinthetallguy","2017-10-07T10:16:22Z"
"spotify:track:0eyTLxTwEYvqWm6NYSvA01","Trash","Suede","The Best Of","1","3","245946","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:4ePP9So5xRzspjLFVVbj90","Two Princes","Spin Doctors","Pocket Full Of Kryptonite","1","7","256733","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:69zg9x0yFIa4TRzRsroCav","Y Control","Yeah Yeah Yeahs","Fever To Tell (EU Version)","1","10","240640","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:2dHNRucvRwCVdwrfJecCkr","You're in Love With a Psycho","Kasabian","You're in Love With a Psycho","1","1","217095","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
