﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2oSpQ7QtIKTNFfA08Cy0ku","It's the End of the World As We Know It (And I Feel Fine)","R.E.M.","Document (R.E.M. No. 5)","1","6","246933","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:1PFFclyHUoBAsOTa6NZfw2","Julie's Place","Rolling Blackouts Coastal Fever","Julie's Place","1","1","198806","spotify:user:martinthetallguy","2017-09-07T16:42:47Z"
"spotify:track:3OGFXDA6X9dIzY5ubkexp3","just cuz you can't","pronoun","just cuz you can't - single","1","1","195000","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:35keiknicSk7ZiEl1Wa4Hg","Just The Way It Is, Baby","The Rembrandts","The Rembrandts","1","1","243893","spotify:user:martinthetallguy","2017-10-18T05:01:21Z"
"spotify:track:3SVAN3BRByDmHOhKyIDxfC","Karma Police","Radiohead","OK Computer","1","6","264066","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:7kzKAuUzOITUauHAhoMoxA","Last Nite","The Strokes","Is This It","1","7","193506","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:579cIDb3DYSkR0AULxrAvW","Legendary","Welshly Arms","Legendary","1","1","230698","spotify:user:martinthetallguy","2018-05-04T10:08:34Z"
"spotify:track:0M14HhRSMzhiPwPitTKezp","Lego","The Maccabees","Colour It In","1","12","190840","spotify:user:martinthetallguy","2017-07-03T16:15:07Z"
"spotify:track:5EBDvc4cX8tqalRFGRwm7A","Liar","Built To Spill","You In Reverse (U.S. Version)","1","3","311346","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:1aLNpg2kKvUncflV8xE5AA","Linger","The Cranberries","Everybody Else Is Doing It, So Why Can't We? (The Complete Sessions 1991-1993)","1","7","274760","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:2ihCaVdNZmnHZWt0fvAM7B","Little Talks","Of Monsters and Men","My Head Is An Animal","1","6","266600","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
